pattern,meaning_cn,core_usage,example,source_scope,source_type,difficulty,confusable_with,notes
Vあう,表示互相之意。常用于动作，有时也可用于状态。,表示互相之意。常用于动作，有时也可用于状态。,学生は学習の喜びや経験などを 話しあっている。 || 困難があった時には、2人はい つも助けあいながら頑張ってき,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。 / Vおわる,表示做完该动作或该行动结束。,表示做完该动作或该行动结束。,答案を書きおわらないうちに、 終了のベルが鳴り出した。 || この小説は昨日読みおわった。 │ 附录 │ 形式 意义,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vきる,表示该动作目标彻底完成，或者该状态彻底实现。,表示该动作目标彻底完成，或者该状态彻底实现。,彼女は42キロの距離を3時間45 分で走りきった。 || そんなことは絶対しないと彼は 言いきった。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vきれる,表示该动作目标能够彻底完成，或者该状态能够彻底实现。,表示该动作目标能够彻底完成，或者该状态能够彻底实现。,おいしいものはたくさん出てい て、食べきれなかった。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vこむ,具体行为时，表示该动作深入到里面；抽象意义时，表示只有一种倾向。,具体行为时，表示该动作深入到里面；抽象意义时，表示只有一种倾向。,プールに飛びこんだ。 || 彼女をすっかり信じこんでい,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。 / Vだす,具体行为时，表示该动作的方向是从里往外；抽象意义时，表示开始做该动作，带有从无到有的状态转变含义。,具体行为时，表示该动作的方向是从里往外；抽象意义时，表示开始做该动作，带有从无到有的状态转变含义。,李さんは鞄からノートやペンを 取りだしてメモをし始めた。 || 警察は犯人から被害者との関係 などを聞きだそうとした。 || 田中さんはゆっくりと昨日のこ とを言いだした。 || おかしくてみんな笑いだした。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vつづける,表示持续做该动作，或者该动作处于持续进行状态中。,表示持续做该动作，或者该动作处于持续进行状态中。,学生は大きな声で叫びつづけ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。,,,3時間も踊りつづけている。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vづらい,表示动作主体感到实施某动作有困难，主要指给动作主体带来负面影响。,表示动作主体感到实施某动作有困难，主要指给动作主体带来负面影响。,相手に負担をかけることなの で、とても言い出しづらかっ,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
た。,,,字が小さくて読みづらい。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vにくい,从动作主体的角度看，表示由于客观原因，很难完成该动作或很难实现动作目标；从动作涉及物的角度看，表示该事物具有难以发生变化的性质。,从动作主体的角度看，表示由于客观原因，很难完成该动作或很难实现动作目标；从动作涉及物的角度看，表示该事物具有难以发生变化的性质。,そんな要求はとても言い出しに,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
くい。,,,この薬はとても飲みにくい。 || 古い癖はなかなか改めにくいも,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
のだ。,普通高中日语课程标准（2017年版2020年修订）形式意义Vはじめる表示开始做该动作或该行动开始。,普通高中日语课程标准（2017年版2020年修订）形式意义Vはじめる表示开始做该动作或该行动开始。,この種の飲料は飲みはじめる と、なかなか止められない。 || ７時半になって、徐々にお客さ んが到着しはじめた。,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
Vやすい,从动作主体的角度看，表示由于客观原因，很容易完成该动作或很容易实现动作目标；从动作涉及物的角度看，表示该事物具有容易发生变化的性质。,从动作主体的角度看，表示由于客观原因，很容易完成该动作或很容易实现动作目标；从动作涉及物的角度看，表示该事物具有容易发生变化的性质。,こんな簡単な質問なら答えやす いと思う。 || この靴はとても履きやすい。 || 分かりやすい言葉で説明してく,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
ださい。 / Nらしい,表示事物具有本身应有的特性。,表示事物具有本身应有的特性。,日本語らしい日本語が話した,gaokao,official_curriculum_2020,2,,官方普通高中日语课程标准附录3语法表
